Unnamed: 0,Coord 1,Coord 2,Coord 3
4-2-1-62848-5-2018-03-13T17-45-57-735,-0.3458375347243209,-0.08151164093273681,0.1374778708317421
4-2-2-63454-4-2018-03-30T20-37-36-363,0.03871744799254054,-0.06648968270228854,-0.35582485951186127
4-2-2-63454-4-2018-04-04T22-22-55-729,-0.1325951172549602,0.01990250304012585,0.04147238558813917
4-3-2-65384-4-2018-06-19T00-52-03-588,0.15653568495838016,0.08960333838523316,-0.07242646694521343
4-3-2-65384-6-2018-06-15T13-06-43-762,-0.11479886576156925,-0.12431371730203443,-0.02166416466865307
4-2-2-63454-4-2018-04-04T22-29-38-963,0.17289257430349297,0.15043751035714004,-0.011207115692213386
4-3-2-65384-4-2018-06-19T00-59-24-954,0.03873651225127941,0.05089795695070316,-0.2114323046845472
4-2-1-62848-5-2018-03-07T05-30-14-1678,0.08339386685889033,-0.2159282786428477,-0.11477199645248302
4-3-2-65384-4-2018-06-19T01-48-03-615,-0.04225424786097853,-0.15617409844181107,0.08725984170308705
4-2-2-63454-4-2018-04-04T22-48-48-920,-0.03300195097291653,0.06150908601264397,0.17986784213743895
4-2-1-62848-5-2018-03-07T06-15-18-570,-0.09719029547319391,-0.048012284106266206,-0.08952376399579294
4-3-2-65384-4-2018-06-19T01-51-46-1505,-0.1021411496009328,-0.0362178930515975,0.010551909433948391
4-3-2-65384-6-2018-06-15T16-11-17-701,-0.026917167004563602,0.268239816878014,0.019088373603519587
4-2-2-63454-4-2018-04-04T23-02-20-857,-0.037911756694731485,-0.11319101165084736,-0.13846621907361792
4-2-1-62848-5-2018-03-07T06-24-31-966,-0.07130734763693164,-0.06030980206334842,-0.15508168900734537
4-2-1-62848-5-2018-03-07T06-24-37-568,-0.12643156315285484,0.006894919442176156,0.022497166415356148
4-2-1-62848-5-2018-03-07T06-25-14-863,0.07255244404452296,0.07240204914821088,0.17729936101553423
4-2-2-63454-4-2018-04-05T02-52-47-942,-0.10847148071866862,-0.08559736689749124,-0.03895028425797073
4-3-2-65384-6-2018-06-16T08-26-51-673,-0.15238647423654983,-0.09285196956461111,-0.0024450178041179518
4-2-1-62848-5-2018-03-07T06-27-40-690,-0.0854843678214619,-0.0180763930283682,0.006405323832967648
4-3-2-65384-4-2018-06-19T06-28-14-821,0.12363757895444218,-0.19019208126809656,0.05676508949248297
4-2-2-63454-4-2018-04-05T02-58-03-751,0.3643300521596599,-0.10467726599889941,-0.02694070194992651
4-2-1-62848-5-2018-03-07T06-32-56-632,-0.1598153699122303,0.059109629793055465,0.014915351629926014
4-3-2-65384-4-2018-06-19T06-30-32-722,0.06556284722574532,0.15445174459740468,-0.15324456076034526
