0Replay_id,Cluster
4-2-1-62848-5-2018-03-27T13-00-49-422,0
4-2-1-62848-4-2018-03-07T05-57-59-862,0
4-2-1-62848-5-2018-03-10T00-37-36-900,0
4-2-1-62848-5-2018-03-27T13-06-27-249,0
4-2-1-62848-4-2018-03-07T06-11-42-334,0
4-2-2-63454-5-2018-03-29T02-10-00-293,0
4-2-1-62848-5-2018-03-10T02-25-00-305,0
4-2-1-62848-4-2018-03-07T06-34-05-410,0
4-2-2-63454-5-2018-03-29T07-28-37-791,0
4-2-1-62848-5-2018-03-10T02-37-36-280,0
4-2-1-62848-5-2018-03-27T16-29-05-1081,0
4-2-1-62848-5-2018-03-10T02-42-59-416,0
4-2-1-62848-4-2018-03-07T06-52-37-412,0
4-2-2-63454-5-2018-03-29T07-29-56-414,0
4-2-1-62848-5-2018-03-10T02-43-00-618,1
4-2-1-62848-4-2018-03-07T07-29-17-541,0
4-2-2-63454-5-2018-03-29T07-40-39-363,0
4-2-1-62848-5-2018-03-27T16-35-00-348,0
4-2-1-62848-5-2018-03-10T02-57-40-306,0
4-2-1-62848-4-2018-03-07T07-37-53-538,2
4-2-2-63454-5-2018-03-29T08-02-30-353,2
4-2-1-62848-5-2018-03-27T16-52-47-377,0
4-2-1-62848-5-2018-03-10T03-05-09-331,0
4-2-1-62848-5-2018-03-27T16-54-20-301,0
4-2-1-62848-5-2018-03-10T03-33-40-672,0
4-2-1-62848-4-2018-03-07T07-38-55-1068,0
4-2-2-63454-5-2018-03-29T08-23-18-1219,0
4-2-1-62848-5-2018-03-27T17-20-15-816,0
4-2-1-62848-5-2018-03-10T03-42-36-451,0
4-2-1-62848-5-2018-03-27T17-21-47-323,0
4-2-1-62848-5-2018-03-10T03-42-57-549,0
4-2-1-62848-4-2018-03-07T07-39-37-695,0
4-2-2-63454-5-2018-03-29T08-41-43-489,0
4-2-1-62848-5-2018-03-27T17-30-41-601,0
4-2-1-62848-5-2018-03-10T04-06-48-301,0
4-2-2-63454-5-2018-03-29T09-08-50-814,0
4-2-1-62848-5-2018-03-27T17-31-26-709,0
4-2-1-62848-4-2018-03-07T07-43-20-1146,1
4-2-2-63454-5-2018-03-29T09-12-24-277,0
4-2-1-62848-5-2018-03-27T17-35-55-310,2
4-2-1-62848-5-2018-03-10T04-11-30-1667,0
4-2-1-62848-4-2018-03-07T08-30-00-430,2
4-2-1-62848-5-2018-03-27T17-53-53-826,0
4-2-1-62848-4-2018-03-07T08-32-00-567,0
4-2-1-62848-5-2018-03-27T18-16-16-576,2
4-2-1-62848-5-2018-03-10T04-20-37-429,0
4-2-1-62848-5-2018-03-27T18-16-44-266,0
4-2-1-62848-5-2018-03-10T04-48-06-416,0
