,Adept,Archon,Carrier,Colossus,DarkTemplar,Disruptor,HighTemplar,Immortal,Mothership,Observer,Oracle,Phoenix,Probe,Sentry,Stalker,Tempest,WarpPrism,VoidRay,Zealot,Assimilator,CyberneticsCore,DarkShrine,FleetBeacon,Forge,Gateway,Nexus,PhotonCannon,Pylon,RoboticsFacility,RoboticsBay,ShieldBattery,Stargate,TemplarArchive,TwilightCouncil,WarpGate,ProtossAirArmorsLevel1,ProtossAirArmorsLevel2,ProtossAirArmorsLevel3,ProtossAirWeaponsLevel1,ProtossAirWeaponsLevel2,ProtossAirWeaponsLevel3,ProtossGroundArmorsLevel1,ProtossGroundArmorsLevel2,ProtossGroundArmorsLevel3,ProtossGroundWeaponsLevel1,ProtossGroundWeaponsLevel2,ProtossGroundWeaponsLevel3,ProtossShieldsLevel1,ProtossShieldsLevel2,ProtossShieldsLevel3,AdeptPiercingAttack,BlinkTech,Charge,DarkTemplarBlinkUpgrade,ExtendedThermalLance,GraviticDrive,ObserverGraviticBooster,PhoenixRangeUpgrade,PsiStormTech,WarpGateResearch,Adept1,Archon1,Carrier1,Colossus1,DarkTemplar1,Disruptor1,HighTemplar1,Immortal1,Mothership1,Observer1,Oracle1,Phoenix1,Probe1,Sentry1,Stalker1,Tempest1,WarpPrism1,VoidRay1,Zealot1,Assimilator1,CyberneticsCore1,DarkShrine1,FleetBeacon1,Forge1,Gateway1,Nexus1,PhotonCannon1,Pylon1,RoboticsFacility1,RoboticsBay1,ShieldBattery1,Stargate1,TemplarArchive1,TwilightCouncil1,WarpGate1,ProtossAirArmorsLevel11,ProtossAirArmorsLevel21,ProtossAirArmorsLevel31,ProtossAirWeaponsLevel11,ProtossAirWeaponsLevel21,ProtossAirWeaponsLevel31,ProtossGroundArmorsLevel11,ProtossGroundArmorsLevel21,ProtossGroundArmorsLevel31,ProtossGroundWeaponsLevel11,ProtossGroundWeaponsLevel21,ProtossGroundWeaponsLevel31,ProtossShieldsLevel11,ProtossShieldsLevel21,ProtossShieldsLevel31,AdeptPiercingAttack1,BlinkTech1,Charge1,DarkTemplarBlinkUpgrade1,ExtendedThermalLance1,GraviticDrive1,ObserverGraviticBooster1,PhoenixRangeUpgrade1,PsiStormTech1,WarpGateResearch1
0,0,6,0,0,0,2,0,2,0,2,0,0,43,0,15,0,0,0,10,8,1,0,0,1,0,3,0,11,1,1,0,0,1,1,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,34,0,0,0,1,0,6,2,1,0,0,1,0,2,1,11,1,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,8,0,0,0,0,0,6,0,1,0,1,62,1,4,0,0,0,9,8,1,1,0,1,0,4,4,17,2,0,2,0,1,1,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5,0,0,0,0,6,7,0,2,0,0,59,2,13,0,1,0,14,6,1,0,0,1,0,4,5,19,2,0,5,0,1,1,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,10,0,4,10,6,2,0,1,2,0,3,3,18,0,0,1,3,0,1,8,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,67,0,11,0,0,0,1,8,1,0,0,1,0,4,2,23,1,0,1,3,1,1,11,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
3,0,0,0,3,0,3,0,0,0,3,0,0,46,1,21,0,1,0,6,5,1,0,0,1,0,3,3,16,2,1,5,0,0,1,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,10,0,0,0,0,3,3,0,1,0,0,64,0,4,0,1,0,25,8,1,1,0,1,0,4,5,18,1,0,2,0,1,1,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,0,4,0,4,0,0,0,2,0,2,0,0,76,1,9,0,0,0,0,8,1,0,0,2,0,5,8,19,1,1,7,0,1,1,9,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,2,0,1,0,0,60,0,2,0,0,0,5,6,1,1,0,2,0,3,1,12,2,1,4,1,0,1,10,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
5,0,4,6,0,0,0,0,0,0,0,0,4,62,1,19,0,0,0,12,8,1,0,1,1,0,4,0,18,1,0,2,5,1,1,8,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,61,2,8,2,0,0,7,6,2,0,1,1,0,4,3,16,0,0,5,3,0,0,3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6,2,0,0,1,3,0,0,6,0,1,0,0,57,0,2,0,0,0,1,4,1,1,0,2,0,4,8,17,4,1,4,0,1,1,7,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,6,0,0,1,0,0,2,0,4,0,0,44,0,1,0,0,0,4,5,0,1,0,0,0,3,1,10,1,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7,8,0,0,0,0,0,0,1,0,0,0,0,59,0,9,0,0,9,0,6,1,1,0,1,0,4,2,22,1,0,2,3,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,3,0,0,0,0,4,4,0,3,0,0,56,0,3,0,0,0,8,6,1,0,0,2,0,3,4,11,1,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
8,0,0,0,0,0,0,0,1,0,1,0,0,54,1,13,0,0,0,0,4,1,0,0,0,0,2,0,10,1,0,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,0,1,0,0,59,0,1,0,0,2,5,6,1,0,0,1,0,3,0,18,2,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9,0,8,0,0,0,0,0,5,0,3,0,0,73,2,3,0,0,0,23,8,1,0,0,2,0,4,0,22,1,0,2,0,1,1,14,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,5,4,1,2,0,1,0,0,72,5,5,0,1,0,13,8,1,1,0,1,0,4,0,16,2,1,6,0,1,1,11,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
