,Name,Adept,Archon,Carrier,Colossus,DarkTemplar,Disruptor,HighTemplar,Immortal,Mothership,Observer,Oracle,Phoenix,Probe,Sentry,Stalker,Tempest,WarpPrism,VoidRay,Zealot,Assimilator,CyberneticsCore,DarkShrine,FleetBeacon,Forge,Gateway,Nexus,PhotonCannon,Pylon,RoboticsFacility,RoboticsBay,ShieldBattery,Stargate,TemplarArchive,TwilightCouncil,WarpGate,ProtossAirArmorsLevel1,ProtossAirArmorsLevel2,ProtossAirArmorsLevel3,ProtossAirWeaponsLevel1,ProtossAirWeaponsLevel2,ProtossAirWeaponsLevel3,ProtossGroundArmorsLevel1,ProtossGroundArmorsLevel2,ProtossGroundArmorsLevel3,ProtossGroundWeaponsLevel1,ProtossGroundWeaponsLevel2,ProtossGroundWeaponsLevel3,ProtossShieldsLevel1,ProtossShieldsLevel2,ProtossShieldsLevel3,AdeptPiercingAttack,BlinkTech,Charge,DarkTemplarBlinkUpgrade,ExtendedThermalLance,GraviticDrive,ObserverGraviticBooster,PhoenixRangeUpgrade,PsiStormTech,WarpGateResearch,Adept1,Archon1,Carrier1,Colossus1,DarkTemplar1,Disruptor1,HighTemplar1,Immortal1,Mothership1,Observer1,Oracle1,Phoenix1,Probe1,Sentry1,Stalker1,Tempest1,WarpPrism1,VoidRay1,Zealot1,Assimilator1,CyberneticsCore1,DarkShrine1,FleetBeacon1,Forge1,Gateway1,Nexus1,PhotonCannon1,Pylon1,RoboticsFacility1,RoboticsBay1,ShieldBattery1,Stargate1,TemplarArchive1,TwilightCouncil1,WarpGate1,ProtossAirArmorsLevel11,ProtossAirArmorsLevel21,ProtossAirArmorsLevel31,ProtossAirWeaponsLevel11,ProtossAirWeaponsLevel21,ProtossAirWeaponsLevel31,ProtossGroundArmorsLevel11,ProtossGroundArmorsLevel21,ProtossGroundArmorsLevel31,ProtossGroundWeaponsLevel11,ProtossGroundWeaponsLevel21,ProtossGroundWeaponsLevel31,ProtossShieldsLevel11,ProtossShieldsLevel21,ProtossShieldsLevel31,AdeptPiercingAttack1,BlinkTech1,Charge1,DarkTemplarBlinkUpgrade1,ExtendedThermalLance1,GraviticDrive1,ObserverGraviticBooster1,PhoenixRangeUpgrade1,PsiStormTech1,WarpGateResearch1
0,replaysTest/4-8-3-72282-2019-02-27T00-38-24-716.SC2Replay,0,4,0,0,0,0,6,1,0,1,0,0,49,0,4,0,0,0,14,6,1,0,0,2,0,3,0,13,1,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,4,3,0,2,0,0,59,1,2,0,0,0,8,4,1,0,0,1,3,3,0,13,1,0,4,0,1,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,replaysTest/4-8-3-72282-2019-02-25T20-07-54-824.SC2Replay,0,0,0,0,0,1,4,3,0,2,0,0,57,0,2,0,0,0,6,6,1,0,0,1,0,3,2,10,1,1,0,0,1,1,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,39,0,0,0,0,0,13,2,1,0,0,1,0,2,2,9,1,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,replaysTest/4-8-3-72282-2019-02-25T04-27-41-663.SC2Replay,0,0,0,0,0,0,0,2,0,1,0,0,61,2,12,0,0,0,2,6,1,0,0,1,0,3,4,14,1,0,5,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,33,0,8,0,0,0,2,4,1,0,0,0,1,2,0,5,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,replaysTest/4-8-3-72282-2019-02-24T22-46-20-1136.SC2Replay,0,0,0,0,6,0,0,1,0,1,0,0,47,1,0,0,1,0,0,4,1,1,0,1,4,3,2,10,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,46,2,9,0,1,0,6,4,1,0,0,1,0,3,1,9,1,0,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,replaysTest/4-8-3-72282-2019-02-24T19-00-27-762.SC2Replay,0,3,0,0,0,0,0,3,0,1,0,0,50,1,2,0,1,0,9,4,1,0,0,1,2,3,2,11,1,0,2,0,1,1,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,0,1,0,0,51,2,3,0,1,0,8,6,1,0,0,1,2,3,0,13,1,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,replaysTest/4-8-3-72282-2019-02-24T11-13-17-1087.SC2Replay,0,0,0,0,0,0,0,0,0,0,0,0,47,0,2,0,0,3,21,4,1,0,0,2,0,3,0,13,0,0,2,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,1,0,0,42,0,2,0,0,0,9,4,1,0,0,1,4,3,2,9,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6,replaysTest/4-8-3-72282-2019-02-24T04-22-03-1145.SC2Replay,0,0,0,0,0,2,0,0,0,2,0,0,49,1,7,0,1,0,2,4,1,0,0,1,0,3,2,11,1,1,3,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,3,0,1,0,0,62,2,8,0,0,0,2,6,1,0,0,1,1,3,0,10,1,0,2,0,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7,replaysTest/4-8-3-72282-2019-02-24T00-26-12-1104.SC2Replay,0,0,0,1,0,0,0,2,0,0,0,0,52,3,6,0,0,0,0,4,1,0,0,1,0,3,1,10,1,1,3,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,42,2,6,0,0,0,6,3,1,0,0,2,2,3,0,9,1,0,3,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,replaysTest/4-8-3-72282-2019-02-23T22-14-19-707.SC2Replay,1,0,0,0,0,0,0,0,0,0,0,0,50,0,10,0,0,2,0,4,1,0,0,1,0,2,1,8,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,56,0,10,0,0,0,0,4,1,0,0,1,0,2,1,9,1,1,3,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9,replaysTest/4-8-3-72282-2019-02-23T20-04-23-781.SC2Replay,0,0,1,0,0,0,0,0,0,0,0,7,62,1,14,0,0,0,0,6,1,0,1,0,0,3,0,11,0,0,2,2,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,39,1,9,0,0,0,1,4,1,0,0,1,0,3,1,9,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
