,0Frame_id,0P1_mmr,0P2_mmr,0Replay_id,P1_Supply_army,P1_Supply_total,P1_Supply_used,P1_Supply_workers,P1_Unit_Nexus,P1_Unit_Probe,P1_minerals,P1_vespene,P2_Supply_army,P2_Supply_total,P2_Supply_used,P2_Supply_workers,P2_Unit_Nexus,P2_Unit_Probe,P2_minerals,P2_vespene
0,0.0,0.0,3635.0,4-2-1-62848-4-2018-03-06T18-35-14-404,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
1,0.0,3409.0,3401.0,4-2-1-62848-4-2018-03-06T22-00-25-596,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
2,0.0,0.0,4237.0,4-2-1-62848-5-2018-03-27T04-19-16-330,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
3,0.0,4159.0,4218.0,4-2-1-62848-5-2018-03-09T14-46-30-577,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
4,0.0,3379.0,0.0,4-2-1-62848-4-2018-03-06T22-43-38-756,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
5,0.0,4002.0,4114.0,4-2-1-62848-5-2018-03-09T14-51-03-157,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
6,0.0,3785.0,3726.0,4-2-2-63454-5-2018-03-28T16-21-21-1260,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
7,0.0,3916.0,3929.0,4-2-1-62848-5-2018-03-09T14-57-33-218,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
8,0.0,0.0,3378.0,4-2-1-62848-4-2018-03-06T23-13-08-886,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
9,0.0,4096.0,4098.0,4-2-1-62848-5-2018-03-09T14-59-17-585,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
10,0.0,3527.0,3435.0,4-2-1-62848-5-2018-03-09T15-03-58-430,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
11,0.0,4673.0,4432.0,4-2-2-63454-5-2018-03-28T16-40-06-564,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
12,0.0,3612.0,3593.0,4-2-1-62848-4-2018-03-06T23-14-04-849,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
13,0.0,3643.0,3647.0,4-2-1-62848-5-2018-03-09T15-06-13-540,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
14,0.0,3690.0,3516.0,4-2-1-62848-5-2018-03-27T04-27-10-647,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
15,0.0,0.0,3665.0,4-2-2-63454-5-2018-03-28T16-49-16-102,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
16,0.0,3462.0,3848.0,4-2-1-62848-4-2018-03-06T23-18-49-344,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
17,0.0,4023.0,4098.0,4-2-1-62848-5-2018-03-09T15-06-32-1013,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
18,0.0,3401.0,3375.0,4-2-1-62848-4-2018-03-06T23-19-35-134,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
19,0.0,4151.0,0.0,4-2-1-62848-5-2018-03-27T04-44-21-871,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
20,0.0,3538.0,3556.0,4-2-1-62848-4-2018-03-06T23-37-24-371,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
21,0.0,3840.0,3746.0,4-2-2-63454-5-2018-03-28T17-16-56-1611,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
22,0.0,4658.0,4984.0,4-2-1-62848-5-2018-03-09T15-25-20-446,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
23,0.0,3441.0,3433.0,4-2-1-62848-4-2018-03-06T23-56-48-333,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
24,0.0,0.0,4323.0,4-2-1-62848-5-2018-03-27T04-54-19-531,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
25,0.0,3415.0,3346.0,4-2-1-62848-4-2018-03-06T23-58-37-180,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
26,0.0,3545.0,3342.0,4-2-1-62848-4-2018-03-07T00-09-19-234,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
27,0.0,4140.0,4128.0,4-2-1-62848-5-2018-03-27T04-57-47-774,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0,0.0,15.0,12.0,12.0,1.0,12.0,50.0,0.0
