,0Frame_id,0Replay_id,P1_HasSpotted_Adept,P1_HasSpotted_AdeptPhaseShift,P1_HasSpotted_Archon,P1_HasSpotted_Assimilator,P1_HasSpotted_Carrier,P1_HasSpotted_Colossus,P1_HasSpotted_CyberneticsCore,P1_HasSpotted_DarkShrine,P1_HasSpotted_DarkTemplar,P1_HasSpotted_Disruptor,P1_HasSpotted_DisruptorPhased,P1_HasSpotted_FleetBeacon,P1_HasSpotted_Forge,P1_HasSpotted_Gateway,P1_HasSpotted_HighTemplar,P1_HasSpotted_Immortal,P1_HasSpotted_Interceptor,P1_HasSpotted_Mothership,P1_HasSpotted_Nexus,P1_HasSpotted_Observer,P1_HasSpotted_ObserverSurveillanceMode,P1_HasSpotted_Oracle,P1_HasSpotted_Phoenix,P1_HasSpotted_PhotonCannon,P1_HasSpotted_Probe,P1_HasSpotted_Pylon,P1_HasSpotted_RoboticsBay,P1_HasSpotted_RoboticsFacility,P1_HasSpotted_Sentry,P1_HasSpotted_ShieldBattery,P1_HasSpotted_Stalker,P1_HasSpotted_Stargate,P1_HasSpotted_StasisTrap,P1_HasSpotted_Tempest,P1_HasSpotted_TemplarArchive,P1_HasSpotted_TwilightCouncil,P1_HasSpotted_VoidRay,P1_HasSpotted_WarpGate,P1_HasSpotted_WarpPrism,P1_HasSpotted_WarpPrismPhasing,P1_HasSpotted_Zealot,P2_HasSpotted_Adept,P2_HasSpotted_AdeptPhaseShift,P2_HasSpotted_Archon,P2_HasSpotted_Assimilator,P2_HasSpotted_Carrier,P2_HasSpotted_Colossus,P2_HasSpotted_CyberneticsCore,P2_HasSpotted_DarkShrine,P2_HasSpotted_DarkTemplar,P2_HasSpotted_Disruptor,P2_HasSpotted_DisruptorPhased,P2_HasSpotted_FleetBeacon,P2_HasSpotted_Forge,P2_HasSpotted_Gateway,P2_HasSpotted_HighTemplar,P2_HasSpotted_Immortal,P2_HasSpotted_Interceptor,P2_HasSpotted_Nexus,P2_HasSpotted_Observer,P2_HasSpotted_ObserverSurveillanceMode,P2_HasSpotted_Oracle,P2_HasSpotted_Phoenix,P2_HasSpotted_PhotonCannon,P2_HasSpotted_Probe,P2_HasSpotted_Pylon,P2_HasSpotted_RoboticsBay,P2_HasSpotted_RoboticsFacility,P2_HasSpotted_Sentry,P2_HasSpotted_ShieldBattery,P2_HasSpotted_Stalker,P2_HasSpotted_Stargate,P2_HasSpotted_StasisTrap,P2_HasSpotted_Tempest,P2_HasSpotted_TemplarArchive,P2_HasSpotted_TwilightCouncil,P2_HasSpotted_VoidRay,P2_HasSpotted_WarpGate,P2_HasSpotted_WarpPrism,P2_HasSpotted_WarpPrismPhasing,P2_HasSpotted_Zealot,P2_HasSpotted_Mothership
2141,21600,4-6-2-69232-4-2018-10-31T19-05-00-1040,0,0,1,4,0,0,1,1,0,2,0,0,2,2,0,6,0,0,3,1,0,0,0,1,28,11,1,2,0,4,15,1,0,0,0,1,0,3,0,0,0,0,0,2,6,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,1,22,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2142,21600,4-4-1-66668-5-2018-07-23T17-43-57-1049,0,0,0,4,0,0,1,0,0,0,0,0,1,2,0,4,0,0,3,0,0,0,0,0,25,2,0,2,0,8,6,0,0,0,1,1,0,6,1,0,2,0,0,0,5,7,0,1,0,0,2,0,1,0,2,0,0,20,2,1,0,1,0,2,61,4,1,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0
2143,21600,4-6-1-68195-5-2018-09-24T06-12-04-1016,0,0,0,3,5,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,0,8,33,8,0,0,1,4,6,1,0,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,4,20,8,0,1,0,2,10,1,0,0,0,0,0,3,0,0,0,0
2144,21600,4-3-2-65384-4-2018-06-16T08-42-05-979,0,0,2,3,0,0,1,0,0,0,0,0,1,3,0,2,0,0,2,0,0,0,0,3,21,5,0,1,0,1,0,0,0,0,0,1,1,5,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,1,3,0,0,0,1,0,0,1,0,2,2,4,0,1,0,1,6,0,0,0,0,1,0,6,1,0,0,0
2145,21600,4-2-2-63454-4-2018-04-01T16-42-52-1721,0,0,1,4,0,3,1,0,0,0,0,0,0,2,1,4,0,0,3,0,1,0,0,1,16,7,0,0,3,3,10,1,0,0,0,1,2,2,0,0,6,0,0,0,4,0,0,1,0,0,0,0,0,1,3,0,3,0,2,0,0,0,0,0,23,8,0,1,0,1,10,0,0,0,0,1,0,0,0,0,0,0
2146,21600,4-3-2-65384-4-2018-06-12T03-48-35-1500,0,0,0,4,2,0,1,0,0,0,0,0,0,4,0,1,0,0,3,1,0,0,0,1,21,5,0,1,0,0,2,1,0,0,0,0,4,0,0,1,2,0,0,0,6,0,0,1,0,0,0,0,0,2,5,0,0,0,2,0,0,0,0,0,31,13,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0
2147,21600,4-6-1-68195-5-2018-09-15T20-11-24-1202,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,2,0,0,3,0,0,0,0,2,21,9,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,4,3,0,1,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,1,34,9,0,0,0,3,0,2,0,4,0,0,6,0,0,0,0,0
2148,21600,4-2-1-62848-5-2018-03-27T01-10-05-1245,0,0,8,7,0,0,1,0,5,0,0,0,0,5,6,1,0,0,3,2,0,0,0,5,23,7,0,0,0,3,0,0,0,3,0,0,0,2,0,0,8,0,0,2,6,0,1,1,0,0,4,0,1,0,4,0,0,0,3,0,0,0,0,1,57,10,0,0,0,1,3,2,0,0,0,1,6,0,1,0,7,0
2149,21600,4-6-2-69232-5-2018-11-07T01-26-55-1011,0,0,4,4,0,0,1,0,0,0,0,0,0,2,0,2,0,0,3,1,0,0,0,2,20,7,0,0,0,2,3,1,0,0,0,1,0,0,0,0,13,0,0,0,4,2,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,3,20,8,0,1,0,3,4,2,0,0,0,0,0,3,0,0,0,0
2150,21600,4-6-2-69232-5-2018-11-04T11-19-59-1473,1,0,1,4,0,0,1,0,0,0,0,0,1,1,0,2,0,1,3,0,0,0,0,4,31,10,0,1,0,4,10,1,0,0,0,0,2,2,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,2,0,2,0,3,0,0,1,6,8,40,11,0,0,0,2,8,0,0,0,0,0,0,1,0,0,4,0
2151,21600,4-3-2-65384-5-2018-06-07T05-34-13-1045,0,0,7,2,0,0,0,0,0,0,0,0,1,0,0,12,0,0,2,0,0,0,0,2,14,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,1,3,0,0,0,0,0,1,0,1,0,2,1,2,0,0,0,0,1,15,5,0,1,0,0,2,2,0,0,0,0,4,0,0,0,3,0
2152,21600,4-6-1-68195-5-2018-10-10T20-03-59-1020,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,11,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,3,36,9,0,1,0,0,19,0,0,0,0,0,0,5,0,0,5,0
2153,21600,4-2-1-62848-6-2018-03-20T19-17-30-1633,0,0,1,6,0,0,1,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,38,10,0,1,0,4,0,0,0,0,0,0,0,1,0,1,5,0,0,5,7,0,0,1,0,0,0,0,0,1,1,0,5,0,4,0,0,1,0,2,40,11,0,1,0,4,0,1,0,0,0,1,0,1,0,0,9,0
2154,21600,4-2-2-63454-5-2018-03-29T20-33-14-1563,0,0,0,4,0,0,1,1,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,1,30,13,0,1,0,1,0,4,0,0,0,1,14,6,0,0,8,4,0,1,6,0,0,1,0,0,6,0,0,2,2,0,1,0,4,0,0,0,0,6,40,11,1,1,2,3,2,0,0,0,1,1,0,7,0,0,0,0
2155,21600,4-4-1-66668-5-2018-07-29T18-09-03-1015,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,6,1,20,3,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,25,6,0,1,0,5,7,0,0,0,0,1,0,2,0,0,0,0
2156,21600,4-3-2-65384-4-2018-06-17T16-41-34-1129,0,0,4,9,0,0,1,0,3,0,0,0,1,2,1,1,0,0,4,1,0,0,0,2,34,14,0,1,0,0,1,1,0,0,1,1,0,2,1,0,13,0,0,0,3,0,0,1,0,3,0,0,0,0,6,0,0,0,3,2,1,0,0,0,22,11,0,2,0,1,6,2,0,0,0,0,0,0,0,0,2,0
2157,21600,4-6-1-68195-6-2018-09-27T22-27-54-1003,0,0,3,6,0,0,1,0,0,0,0,0,2,6,0,0,0,0,3,0,0,0,0,11,29,14,0,1,0,6,2,0,0,0,1,1,0,4,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,2,0,0,20,3,0,0,0,0,3,6,9,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0
2158,21600,4-6-1-68195-4-2018-09-18T08-23-45-981,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,10,3,0,0,0,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,0,0,0,0,1,2,3,4,8,4,3,0,0,0,6,31,8,0,0,0,8,21,0,0,0,0,0,5,0,0,0,5,0
2159,21600,4-6-1-68195-4-2018-09-14T09-46-39-1388,0,0,3,5,0,0,1,0,0,0,0,0,2,3,0,0,0,0,3,1,0,0,0,8,28,14,0,0,0,4,5,0,0,0,1,1,0,4,0,0,7,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,19,2,0,0,0,0,3,0,0,0,0,0,0,2,0,1,15,0
2160,21600,4-6-1-68195-5-2018-09-17T23-41-06-1072,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0,1,0,42,6,0,1,0,4,7,0,0,0,0,0,10,1,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,1,3,0,0,0,4,1,0,0,0,4,45,10,0,0,0,6,8,1,0,0,0,1,0,3,0,0,0,0
2161,21600,4-6-2-69232-5-2018-11-03T16-24-24-1022,0,0,0,4,0,0,1,0,0,0,0,1,1,4,0,0,0,0,3,0,0,0,0,3,26,12,0,1,0,0,0,2,0,0,0,1,0,4,0,0,3,0,0,0,8,0,0,1,0,0,0,0,0,1,2,0,0,0,5,1,0,0,0,7,32,9,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0
2162,21600,4-4-1-66668-4-2018-07-30T03-57-03-1221,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,13,2,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,1,18,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2163,21600,4-4-1-66668-4-2018-07-31T23-43-45-1690,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,6,8,6,0,0,0,1,16,1,0,0,0,1,1,6,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,17,5,0,0,0,3,6,0,0,0,0,1,0,6,0,0,24,0
2164,21600,4-2-1-62848-6-2018-03-12T16-15-58-1365,0,0,0,4,0,0,1,0,0,0,0,1,1,2,0,0,0,1,3,0,0,0,28,1,21,9,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,2,0,0,0,5,0,0,0,17,6,39,6,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,1
2165,21600,4-2-1-62848-4-2018-03-23T19-35-53-1124,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,13,5,0,0,0,2,0,2,0,2,0,0,5,0,0,0,10,0
2166,21600,4-3-1-65094-4-2018-05-20T04-22-36-1001,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,2,0,0,0,1,0,0,0,17,1,8,0,0,10,2,7,0,0,0,0,1,0,0,0,0,15,0,0,0,3,0,0,1,1,2,0,0,0,0,0,0,2,0,1,2,0,0,0,0,12,8,0,1,2,1,19,0,0,0,0,1,0,9,0,0,0,0
2167,21600,4-4-1-66668-5-2018-08-01T20-28-22-1543,0,0,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,9,2,15,9,0,0,3,3,9,1,0,0,0,1,0,2,0,0,2,0,0,0,4,0,0,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,22,6,22,7,0,0,0,4,1,2,0,0,0,0,0,1,0,0,2,0
2168,21600,4-3-1-65094-4-2018-05-21T21-45-02-965,0,0,0,5,0,0,1,1,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,32,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,4,6,0,0,0,2,10,0,0,0,0,0,15,0,0,0,0,0
2169,21600,4-4-1-66668-5-2018-08-06T14-19-47-1000,0,0,3,6,0,0,1,0,0,0,0,1,0,3,0,0,0,0,4,0,0,0,8,0,21,15,0,0,0,1,6,2,0,0,1,1,0,5,0,0,19,0,0,5,6,3,0,1,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,27,17,0,0,0,1,7,3,0,0,0,1,0,8,0,0,11,0
