,720,1440,2160,2880,3600,4320,5040,5760,6480,7200,7920,8640,9360,10080,10800,Names
4-2-1-62848-4-2018-03-26T05-48-38-926,14.0,16.0,19.0,18.0,15.0,17.0,19.0,23.0,27.0,33.0,36.0,43.0,45.0,45.0,45.0,2
4-3-2-65384-4-2018-06-12T17-38-03-1294,14.0,18.0,18.0,20.0,21.0,22.0,23.0,25.0,28.0,34.0,36.0,38.0,41.0,43.0,44.0,2
4-3-2-65384-4-2018-06-12T22-53-48-994,14.0,16.0,19.0,20.0,22.0,24.0,26.0,28.0,30.0,34.0,35.0,35.0,39.0,40.0,40.0,3
4-2-1-62848-4-2018-03-26T07-13-41-1407,14.0,16.0,18.0,20.0,20.0,21.0,21.0,23.0,22.0,27.0,29.0,30.0,35.0,39.0,40.0,1
4-3-2-65384-5-2018-06-20T11-21-13-1040,14.0,16.0,20.0,21.0,21.0,21.0,23.0,27.0,31.0,35.0,36.0,38.0,40.0,43.0,47.0,1
4-3-2-65384-4-2018-06-12T23-35-35-996,14.0,16.0,18.0,20.0,21.0,23.0,28.0,28.0,23.0,20.0,26.0,31.0,30.0,34.0,37.0,3
4-2-1-62848-4-2018-03-26T09-38-37-1092,14.0,16.0,19.0,22.0,22.0,24.0,27.0,32.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,1
4-3-2-65384-5-2018-06-20T11-32-02-1578,14.0,17.0,18.0,20.0,20.0,21.0,21.0,22.0,23.0,23.0,27.0,32.0,36.0,40.0,39.0,3
4-2-2-63454-4-2018-03-31T09-24-10-1381,14.0,17.0,18.0,20.0,23.0,23.0,22.0,22.0,22.0,21.0,27.0,31.0,32.0,33.0,34.0,1
4-2-1-62848-4-2018-03-26T09-49-38-934,14.0,16.0,18.0,20.0,23.0,25.0,25.0,26.0,29.0,25.0,20.0,23.0,28.0,34.0,38.0,3
4-3-2-65384-4-2018-06-13T05-42-18-1369,14.0,17.0,18.0,20.0,21.0,21.0,22.0,23.0,25.0,28.0,32.0,37.0,41.0,42.0,46.0,1
4-2-2-63454-4-2018-03-31T15-12-50-1124,14.0,17.0,19.0,20.0,23.0,24.0,25.0,27.0,30.0,30.0,34.0,36.0,38.0,39.0,40.0,3
4-2-1-62848-4-2018-03-26T12-34-10-1635,14.0,17.0,18.0,20.0,20.0,22.0,23.0,23.0,22.0,17.0,16.0,19.0,22.0,23.0,29.0,1
4-3-2-65384-4-2018-06-13T16-51-45-1459,14.0,17.0,18.0,20.0,23.0,26.0,27.0,26.0,26.0,28.0,29.0,30.0,31.0,31.0,31.0,2
4-2-1-62848-4-2018-03-26T12-54-07-823,14.0,16.0,18.0,18.0,21.0,21.0,21.0,24.0,28.0,32.0,36.0,33.0,34.0,35.0,20.0,2
4-3-2-65384-5-2018-06-20T18-14-23-1010,14.0,17.0,17.0,18.0,21.0,25.0,29.0,34.0,38.0,39.0,36.0,37.0,42.0,34.0,34.0,2
4-2-2-63454-4-2018-03-31T16-03-28-1238,14.0,17.0,18.0,19.0,19.0,18.0,18.0,20.0,20.0,11.0,15.0,18.0,21.0,22.0,27.0,3
4-2-1-62848-4-2018-03-26T13-17-00-1289,14.0,17.0,16.0,17.0,20.0,19.0,20.0,20.0,21.0,21.0,22.0,21.0,21.0,20.0,20.0,1
4-2-1-62848-4-2018-03-26T13-37-00-1700,14.0,16.0,19.0,21.0,19.0,21.0,23.0,27.0,33.0,35.0,36.0,40.0,40.0,42.0,46.0,4
4-3-2-65384-4-2018-06-14T02-33-35-1434,14.0,17.0,18.0,21.0,22.0,25.0,28.0,31.0,35.0,34.0,39.0,41.0,44.0,42.0,48.0,1
4-3-2-65384-5-2018-06-21T06-51-41-822,14.0,18.0,19.0,20.0,20.0,21.0,20.0,20.0,4.0,5.0,11.0,14.0,18.0,23.0,29.0,2
4-2-1-62848-4-2018-03-26T15-08-39-1389,13.0,17.0,18.0,20.0,21.0,25.0,29.0,27.0,33.0,36.0,38.0,40.0,43.0,44.0,43.0,2
4-2-2-63454-4-2018-03-31T22-32-12-909,14.0,16.0,17.0,20.0,22.0,21.0,20.0,26.0,29.0,32.0,32.0,34.0,33.0,33.0,31.0,3
4-3-2-65384-5-2018-06-21T07-48-47-1043,14.0,17.0,18.0,20.0,20.0,19.0,19.0,19.0,12.0,11.0,11.0,4.0,4.0,4.0,7.0,1
4-3-2-65384-4-2018-06-14T03-58-01-1210,14.0,16.0,18.0,18.0,16.0,17.0,16.0,19.0,22.0,23.0,23.0,24.0,27.0,30.0,24.0,3
